University,City,Cost,Subjects,Country,IELTS Score
University of Edinburgh,Oxford,13557,"Biology, Business",UK,8.0
LSE,Oxford,15311,"Biology, Law, Economics",UK,7.0
Western University,Toronto,19446,"Biology, Computer Science, Mathematics, Economics",Canada,8.0
University of Technology Sydney,Adelaide,18779,"Engineering, Mathematics, Business",Australia,8.0
Western University,Ottawa,14944,"Biology, AI, Physics",Canada,6.0
UPenn,Los Angeles,16454,"Business, Engineering",USA,7.0
University of Waterloo,Ottawa,16180,"Business, Law",Canada,6.5
University of Adelaide,Wollongong,14156,"Robotics, Computer Science, Mathematics, Physics",Australia,6.0
Harvard,Los Angeles,19917,"Economics, Mathematics, Physics",USA,6.5
University of Melbourne,Gold Coast,11363,"Economics, Engineering, AI, Mathematics",Australia,6.0
Stanford,San Francisco,14699,"Economics, Biology, Business",USA,6.5
University of Western Australia,Wollongong,12014,"Business, Physics, AI",Australia,7.5
MIT,San Francisco,13680,"Engineering, Law, Economics, AI",USA,7.0
University of Alberta,Vancouver,14129,"Engineering, Robotics",Canada,7.5
Columbia,Palo Alto,19788,"Law, Engineering, Economics, AI",USA,8.0
University of Melbourne,Adelaide,18608,"Economics, Physics",Australia,7.0
University of Bristol,Liverpool,18396,"Law, Economics, Computer Science",UK,6.5
University of Adelaide,Perth,11272,"Engineering, Economics, Mathematics, Computer Science",Australia,6.5
MIT,Cambridge,11360,"AI, Business, Computer Science",USA,7.0
University of Alberta,Edmonton,12764,"Engineering, Business",Canada,7.0
Cambridge,Oxford,13942,"Computer Science, Economics, Engineering, Law",UK,6.5
University of Western Australia,Adelaide,12098,"Computer Science, Engineering, Robotics, Mathematics",Australia,8.0
RMIT University,Sydney,13144,"Business, Engineering, Robotics, AI",Australia,7.5
Durham University,Edinburgh,18862,"Engineering, Computer Science",UK,7.5
McGill University,Halifax,14479,"Law, Physics, AI",Canada,8.0
University of Alberta,Toronto,19695,"Law, Biology, Engineering, Computer Science",Canada,6.5
Oxford,Liverpool,15756,"Law, Economics, Robotics, Computer Science",UK,6.5
York University,Vancouver,11881,"Mathematics, Physics, Biology",Canada,6.5
UNSW,Adelaide,11855,"Engineering, Business",Australia,7.5
Imperial College London,London,15220,"Robotics, Economics, Biology, AI",UK,8.0
Duke,New York,14966,"AI, Physics, Robotics",USA,7.5
UNSW,Adelaide,10533,"Engineering, Mathematics, Economics, Physics",Australia,7.5
Monash University,Darwin,11690,"Robotics, Business, Law",Australia,7.5
University of Waterloo,Toronto,16168,"Economics, AI, Computer Science, Mathematics",Canada,6.0
University of Chicago,Durham,13570,"Mathematics, Computer Science",USA,7.5
UBC,Toronto,11777,"Robotics, Business, Computer Science",Canada,6.5
Harvard,Chicago,14643,"Business, Economics",USA,6.0
University of Western Australia,Wollongong,12503,"Engineering, Physics, Robotics",Australia,8.0
University of Melbourne,Perth,17902,"Robotics, Computer Science",Australia,8.0
Caltech,Durham,16520,"Computer Science, Economics, Mathematics",USA,7.0
ANU,Brisbane,10831,"Business, Computer Science, Law",Australia,6.0
University of Queensland,Canberra,13723,"Economics, Law, Biology",Australia,8.0
Caltech,Princeton,14117,"Physics, Engineering, Business, Mathematics",USA,6.5
RMIT University,Brisbane,10567,"Biology, Mathematics",Australia,6.0
MIT,Philadelphia,19483,"Robotics, Computer Science, Biology",USA,7.0
University of Waterloo,Montreal,10908,"Robotics, Engineering",Canada,7.5
Western University,Calgary,16139,"Economics, Mathematics",Canada,8.0
Cambridge,Durham,15786,"Mathematics, Law, Business",UK,8.0
University of Toronto,Calgary,11304,"Engineering, Law, Business",Canada,7.5
University of Ottawa,Montreal,12968,"Computer Science, Business",Canada,8.0
RMIT University,Canberra,10771,"Mathematics, AI",Australia,7.0
Imperial College London,London,11431,"Computer Science, Economics, Engineering, Physics",UK,7.5
University of Sydney,Darwin,15910,"AI, Robotics",Australia,7.5
University of Toronto,Quebec City,13964,"Engineering, Economics, Biology, AI",Canada,6.0
Caltech,Cambridge,17252,"Robotics, AI, Mathematics, Business",USA,7.5
Columbia,Boston,10025,"Business, Robotics, AI",USA,6.0
University of Melbourne,Hobart,10220,"Economics, Robotics, Biology, Engineering",Australia,6.0
University of Technology Sydney,Hobart,18689,"Robotics, Engineering, Economics, Business",Australia,7.0
Imperial College London,Oxford,17158,"Law, Physics",UK,7.5
McMaster University,Toronto,18862,"Mathematics, AI, Biology",Canada,6.5
MIT,San Francisco,10350,"Business, Biology",USA,8.0
University of Queensland,Gold Coast,17217,"Mathematics, Biology, Physics, Economics",Australia,6.0
University of Queensland,Hobart,13417,"Computer Science, Economics",Australia,7.0
LSE,Glasgow,16333,"Economics, Physics, Law, Biology",UK,6.0
MIT,Princeton,11872,"Law, Business",USA,7.0
Western University,Halifax,14700,"Engineering, Business, Computer Science, Robotics",Canada,8.0
